ID,title,message,type,author
23,STP Abandoned - SMS1,Oops! Did You Forget Something? Start The Sound Therapy Practitioner Certification: https://scholistico.com/product/sound-therapy-practitioner-certification-course/,marketing,522
22,MVT Abandoned - SMS1,Oops! Did You Forget Something? Start The Movement Therapy Practitioner Certification: https://scholistico.com/product/movement-therapy-practitioner-certification-course/,marketing,522
21,SMS 4 - BFCM24 - Dec 9,"Final hours, NO extensions Cyber Week ends TONIGHT at midnight Last chance for $97 courses & $240 bundles. Act now or miss out!: https://scholistico.com/",marketing,16325
20,SMS 4 - BFCM24 - Dec 2,Last chance! Cyber Monday Sale: Get Any Certification for $97 USD + FREE Accounting Course & ‘Making A Living’ Guide - Ends Tonight: https://scholistico.com/,marketing,16325
19,SMS 3 - BFCM24,Black Friday Ends Tonight: All Certifications at Scholistico for Just $97 USD. Claim your free certificate now https://scholistico.com/training-courses/,marketing,16325
18,BFCM24-SMS 1,Black Friday Ends Tonight! All Certifications at Scholistico for Just $97 USD. Claim your free certificate now: https://scholistico.com/,marketing,16325
17,BTS SMS 1,"Back to School: 20% off all Holistic Wellness Certifications! Join 17,000+ students. Ends Sept 24. 
Invest now: https://scholistico.com/training-courses/",marketing,16325
16,HHP Full Sale - SMS 2 - Next Monday,[Final hours] Holistic Health Certification $195 ends at midnight. Don't miss out: https://scholistico.com/product/holistic-health-practitioner-online-training-course/,marketing,16325
15,HHP Full Sale - SMS 1 - Teusday,Holistic Health Certification now $195 until Sept 10th. Transform your wellness career: https://scholistico.com/product/holistic-health-practitioner-online-training-course/,marketing,16325
14,ART ABANDONED SMS 2,"Hi {first}, Last chance! Join our Art Therapy Practitioner Certification. Enjoy an extra 20% discount with code ART20 at checkout:
https://scholistico.com/step/art-therapy/",marketing,16325
13,ART ABANDONED SMS 1,"Oops! Did You Forget Something? Start The Art Therapy Certification Now:
https://scholistico.com/step/art-therapy/",marketing,16325
12,HHP Abandoned - SMS1,Oops! Did You Forget Something? Start The Holistic Health Certification: https://scholistico.com/product/holistic-health-practitioner-online-training-course/,marketing,3
11,NAT ABANDONED - SMS 2,"Hi {first}, Last chance! Join our Naturopathic Practitioner Certification. Enjoy an extra 20% discount with code NAT20 at checkout:
https://scholistico.com/step/naturopathy-course/",marketing,3
10,NAT ABANDONED - SMS 1,"Oops! Did You Forget Something? Start The Naturopathy Certification Now:
https://scholistico.com/step/naturopathy-course/",marketing,3
9,NAT ABANDONED - SMS 2,"Hi {first}, Last chance! Join our Naturopathic Practitioner Certification. Enjoy an extra 20% discount with code NAT20 at checkout:
https://scholistico.com/step/naturopathy-course/",marketing,16325
8,NAT ABANDONED - SMS 1,"Oops! Did You Forget Something? Start The Naturopathy Certification Now:
https://scholistico.com/step/naturopathy-course/",marketing,16325
7,Test,"Hey {first}, we noticed you left at the last step of enrollment. Complete your process now and get certified!
https://scholistico.com/step/naturopathy-course/",marketing,16325
6,Spring Sale - SMS 2,"Time's almost up, {first}! 
Today is the last opportunity to harness the power of our Spring Sale and get 20% off all Scholistico courses. 
Sale ends at midnight. Don't delay - your journey to holistic education is a click away! https://scholistico.com/training-courses/",marketing,459
5,Spring Sale - SMS 1,"Spring Sale is now in full swing! 

All courses are a breeze at an EXTRA 20% OFF.

Propel your growth with the best deal this season! 

Explore courses now: https://scholistico.com/training-courses/",marketing,459
4,Test Message,"Hello {first}, This is a Test Message.",marketing,459
3,Scholistico Black Friday Sale 2023,"Scholistico Black Friday Sale is NOW LIVE! Unleash knowledge with any course for only $97! Plus a FREE certificate shipped to you. Act Fast! 
Code BFCM97 at checkout.
https://scholistico.com/",marketing,459
2,Test 2 Message,"Hello {first}, how are you",marketing,459
1,Test Message,This is a test message from Scholistico!,marketing,459
