course_code,language,country_code,website,course_name,course_document_path,course_link,result_blog_dict,results_product_dict,inspiration_blog_dict
AT,Dutch,nl,nl.scholistico,Art Therapy Practitioner,courses/AT,,{'kunstzinnige-therapie-oefeningen-voor-autisme': 'https://nl.scholistico.com/kunstzinnige-therapie-...,{},{'kunstzinnige-therapie-oefeningen-voor-autisme': 'https://nl.scholistico.com/kunstzinnige-therapie-...
AT,English,en,en.scholistico,Art Therapy Practitioner,courses/AT,https://scholistico.com/product/art-therapy-practitioner-training-course/,{},{'art-therapy-practitioner-training-course': 'https://scholistico.com/product/art-therapy-practition...,{}
AT,German,de,de.scholistico,Art Therapy Practitioner,courses/AT,https://de.scholistico.com/produkt/ausbildung-in-kunsttherapie/,{},"{'ausbildung-in-kunsttherapie': 'https://de.scholistico.com/produkt/ausbildung-in-kunsttherapie/', '...",{}
AT,Italian,it,it.scholistico,Art Therapy Practitioner,courses/AT,https://it.scholistico.com/prodotto/corso-di-formazione-in-arteterapia/,{},{'corso-di-formazione-in-arteterapia': 'https://it.scholistico.com/prodotto/corso-di-formazione-in-a...,{}
AT,Spanish,es,es.scholistico,Art Therapy Practitioner,courses/AT,https://es.scholistico.com/producto/curso-certificacion-practicante-arteterapia/,{},{'curso-certificacion-practicante-arteterapia': 'https://es.scholistico.com/producto/curso-certifica...,{}
HHP,Dutch,nl,nl.scholistico,Holistic Health Practioner,courses/HHP,,{'holistische-gezondheidscertificering': 'https://nl.scholistico.com/holistische-gezondheidscertific...,{},{'holistische-gezondheidscertificering': 'https://nl.scholistico.com/holistische-gezondheidscertific...
HHP,English,en,en.scholistico,Holistic Health Practioner,courses/HHP,https://scholistico.com/product/holistic-health-practitioner-online-training-course/,{},{'holistic-health-practitioner-online-training-course': 'https://scholistico.com/product/holistic-he...,{}
HHP,German,de,de.scholistico,Holistic Health Practioner,courses/HHP,https://de.scholistico.com/produkt/ausbildung-zum-ganzheitlichen-gesundheitspraktiker/,{'von-natuerlicher-gesundheit-leben': 'https://de.scholistico.com/produkt/von-natuerlicher-gesundhei...,{'ausbildung-zum-ganzheitlichen-gesundheitspraktiker': 'https://de.scholistico.com/produkt/ausbildun...,{'von-natuerlicher-gesundheit-leben': 'https://de.scholistico.com/produkt/von-natuerlicher-gesundhei...
HHP,Italian,it,it.scholistico,Holistic Health Practioner,courses/HHP,https://it.scholistico.com/prodotto/certificazione-in-operatore-sanitario-olistico/,{},{'certificazione-in-operatore-sanitario-olistico': 'https://it.scholistico.com/prodotto/certificazio...,{}
HHP,Spanish,es,es.scholistico,Holistic Health Practioner,courses/HHP,https://es.scholistico.com/producto/curso-de-certificacion-practicante-de-salud-holistica/,{},{'curso-de-certificacion-practicante-de-salud-holistica': 'https://es.scholistico.com/producto/curso...,{}
HNC,Dutch,nl,nl.scholistico,Holistic Nutrition Consultant,courses/HNC,,{'holistische-voedingsconsulent-certificering': 'https://nl.scholistico.com/holistische-voedingscons...,{},{'holistische-voedingsconsulent-certificering': 'https://nl.scholistico.com/holistische-voedingscons...
HNC,English,en,en.scholistico,Holistic Nutrition Consultant,courses/HNC,https://scholistico.com/product/holistic-nutrition-consultant-training-course/,{},{'holistic-nutrition-consultant-training-course': 'https://scholistico.com/product/holistic-nutritio...,{}
HNC,German,de,de.scholistico,Holistic Nutrition Consultant,courses/HNC,https://de.scholistico.com/produkt/ausbildung-zum-ganzheitlichen-ernaehrungsberater/,{},{'ausbildung-zum-ganzheitlichen-ernaehrungsberater': 'https://de.scholistico.com/produkt/ausbildung-...,{}
HNC,Italian,it,it.scholistico,Holistic Nutrition Consultant,courses/HNC,https://it.scholistico.com/prodotto/certificazione-in-nutrizione-olistica/,{},{'certificazione-in-nutrizione-olistica': 'https://it.scholistico.com/prodotto/certificazione-in-nut...,{}
HNC,Spanish,es,es.scholistico,Holistic Nutrition Consultant,courses/HNC,https://es.scholistico.com/producto/curso-de-certificacion-consultor-en-nutricion-holistica/,{},{'curso-de-certificacion-consultor-en-nutricion-holistica': 'https://es.scholistico.com/producto/cur...,{}
MT,Dutch,nl,nl.scholistico,Movement Therapy,courses/MT,https://nl.scholistico.com/product/officieel-certificaat-voor-de-opleiding-bewegingstherapeut/,{},{'officieel-certificaat-voor-de-opleiding-bewegingstherapeut': 'https://nl.scholistico.com/product/o...,{}
MT,English,en,en.scholistico,Movement Therapy,courses/MT,https://scholistico.com/product/introduction-to-movement-therapy/,{},{'introduction-to-movement-therapy': 'https://scholistico.com/product/introduction-to-movement-thera...,{}
NAT,Dutch,nl,nl.scholistico,Naturopathy,courses/NAT,,"{'4-natuurlijke-huismiddeltjes': 'https://nl.scholistico.com/4-natuurlijke-huismiddeltjes/', 'natuur...",{},"{'4-natuurlijke-huismiddeltjes': 'https://nl.scholistico.com/4-natuurlijke-huismiddeltjes/', 'natuur..."
NAT,English,en,en.scholistico,Naturopathy,courses/NAT,https://scholistico.com/product/naturopathy-practitioner-training-course/,{},{'naturopathy-practitioner-training-course': 'https://scholistico.com/product/naturopathy-practition...,{}
NAT,German,de,de.scholistico,Naturopathy,courses/NAT,https://de.scholistico.com/produkt/ausbildung-zum-naturheilpraktiker/,{},{'ausbildung-zum-naturheilpraktiker': 'https://de.scholistico.com/produkt/ausbildung-zum-naturheilpr...,{}
